,Location,Price,Type,No. Beds,No. Baths,Area,Latitude,Longitude,Region,Sub-region
0.0,"Sector 10, Uttara, Dhaka",7500000,Apartment,3.0,3.0,1300.0,23.86846,90.3928,Uttara,Sector 10
1.0,"Section 11, Mirpur, Dhaka",7280000,Apartment,4.0,4.0,1456.0,23.81223,90.35967,Mirpur,Section 11
2.0,"Chowdhuripara, Khilgaon, Dhaka",13000000,Apartment,3.0,3.0,1550.0,23.75349,90.42469,Khilgaon,Chowdhuripara
3.0,"Road No 4, Banani, Dhaka",37000000,Apartment,3.0,3.0,2669.0,23.78855,90.40080999999999,Banani,Road No 4
4.0,"South Banasree Project, Banasree, Dhaka",3600000,Apartment,2.0,2.0,835.0,23.76354,90.4318,Banasree,South Banasree Project
5.0,"Section 11, Mirpur, Dhaka",6800000,Apartment,3.0,3.0,1260.0,23.81223,90.35967,Mirpur,Section 11
6.0,"Section 11, Mirpur, Dhaka",6800000,Apartment,3.0,3.0,1260.0,23.81223,90.35967,Mirpur,Section 11
7.0,"Shantinagar Bazar Rd, Shantinagar, Dhaka",5500000,Apartment,2.0,2.0,750.0,23.74071,90.41285,Shantinagar,Shantinagar Bazar Rd
8.0,"West Rampura, Rampura, Dhaka",6700000,Apartment,3.0,2.0,938.0,23.76748,90.42231,Rampura,West Rampura
9.0,"Farmgate, Tejgaon, Dhaka",13500000,Apartment,3.0,3.0,1455.0,23.7921,90.37846,Tejgaon,Farmgate
10.0,"Sector 10, Uttara, Dhaka",10500000,Apartment,3.0,3.0,1376.0,23.86846,90.3928,Uttara,Sector 10
11.0,"West Rampura, Rampura, Dhaka",6700000,Apartment,3.0,2.0,938.0,23.76748,90.42231,Rampura,West Rampura
12.0,"New Eskaton Road, Eskaton, Dhaka",15000000,Apartment,3.0,3.0,1895.0,23.747510000000002,90.40013,Eskaton,New Eskaton Road
13.0,"New Eskaton Road, Eskaton, Dhaka",18000000,Apartment,3.0,4.0,1785.0,23.747510000000002,90.40013,Eskaton,New Eskaton Road
14.0,"Paikpara, Mirpur, Dhaka",6700000,Apartment,3.0,3.0,1300.0,23.791929999999997,90.35733,Mirpur,Paikpara
15.0,"Sector 9, Uttara, Dhaka",22000000,Apartment,3.0,4.0,2000.0,23.86846,90.3928,Uttara,Sector 9
16.0,"Sector 10, Uttara, Dhaka",7500000,Apartment,3.0,3.0,1525.0,23.86846,90.3928,Uttara,Sector 10
17.0,"Pirerbag, Mirpur, Dhaka",3900000,Apartment,3.0,2.0,960.0,23.81223,90.35967,Mirpur,Pirerbag
18.0,"Sector 11, Uttara, Dhaka",12500000,Apartment,3.0,3.0,1550.0,23.86846,90.3928,Uttara,Sector 11
19.0,"Sector 10, Uttara, Dhaka",7500000,Apartment,3.0,3.0,1525.0,23.86846,90.3928,Uttara,Sector 10
20.0,"Sector 10, Uttara, Dhaka",7500000,Apartment,3.0,3.0,1528.0,23.86846,90.3928,Uttara,Sector 10
21.0,"East Rampura, Rampura, Dhaka",7000000,Apartment,4.0,4.0,1510.0,23.760360000000002,90.41909,Rampura,East Rampura
22.0,"East Maniknagar, Maniknagar, Dhaka",8250000,Plot,,,1980.0,23.72263,90.42987,Maniknagar,East Maniknagar
